Quang Tri,I
Thua Thien,I
Quang Nam,I
Quang Tin,I
Quang Ngai,I
Kontum,II
Binh Dinh,II
Pleiku,II
Phu Bon,II
Phu Yen,II
Darlac,II
Khanh Hoa,II
Quang Duc,II
Tuyen Duc,II
Ninh Thuan,II
Lam Dong,II
Binh Thuan,II
Phuoc Long,III
Binh Long,III
Tay Ninh,III
Binh Duong,III
Long Khanh,III
Hau Nghia,III
Bien Hoa,III
Binh Tuy,III
Long An,III
Gia Dinh,III
Phuoc Tuy,III
Kien Tuong,IV
Kien Phong,IV
Chau Doc,IV
Kien Giang,IV
An Giang,IV
Sa Dec,IV
Dinh Tuong,IV
Go Cong,IV
Vinh Long,IV
Kien Hoa,IV
Phong Dinh,IV
Vinh Binh,IV
Chuong Thien,IV
Ba Xuyen,IV
Bac Lieu,IV
An Xuyen,IV
